Number of parameters: 88901
input:120 hidden:100 layers:1, no dropout

[21, 18000] loss: 0.797
[21, 27000] loss: 0.812
[21] Test loss: 1.006
[22,  9000] loss: 0.777
[22, 18000] loss: 0.799
[22, 27000] loss: 0.801
[22] Test loss: 1.012
[23,  9000] loss: 0.773
[23, 18000] loss: 0.788
[23, 27000] loss: 0.797
[23] Test loss: 1.018
[24,  9000] loss: 0.763
[24, 18000] loss: 0.785
[24, 27000] loss: 0.793
[24] Test loss: 1.021
[25,  9000] loss: 0.761
[25, 18000] loss: 0.776
[25, 27000] loss: 0.790
[25] Test loss: 1.022
[26,  9000] loss: 0.754
[26, 18000] loss: 0.771
[26, 27000] loss: 0.784
[26] Test loss: 1.027
[27,  9000] loss: 0.749
[27, 18000] loss: 0.770
[27, 27000] loss: 0.775
[27] Test loss: 1.036
[28,  9000] loss: 0.740
[28, 18000] loss: 0.763
[28, 27000] loss: 0.775
[28] Test loss: 1.041
[29,  9000] loss: 0.738
[29, 18000] loss: 0.757
[29, 27000] loss: 0.770
[29] Test loss: 1.039
[30,  9000] loss: 0.729
[30, 18000] loss: 0.749
[30, 27000] loss: 0.769
[30] Test loss: 1.043
